epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.0123138303187356,0.3026044341978112,1.110824510232726,0.24204797134138153
1,0.001,0.799691615709618,0.5115008303451266,0.7227859755060566,0.5255949173471193
2,0.001,0.6712719531201604,0.5726190924463653,0.593123831855717,0.5789174331824901
3,0.001,0.6007078218815932,0.5803678588387098,0.4840646870990298,0.663528572517956
4,0.001,0.531424900489067,0.6257284644499845,0.4382632650546174,0.6583822676981567
5,0.001,0.46903845578876896,0.663239957162385,0.39866723320377406,0.7110274612676382
6,0.001,0.4489443101989689,0.6665326388891755,0.4125428586753447,0.6725362444041544
7,0.001,0.4399479752156272,0.6492642912541747,0.3723183367679368,0.707363978601296
8,0.001,0.4074676503886038,0.6901799976003989,0.358862380928068,0.7126342914676285
9,0.001,0.42355835348812504,0.6669776978753297,0.36689764883980824,0.7118222761636323
